COD_ZONA,VIAGENS_ATRAIDAS_POR_MOTIVO,QTD
21,Procurar Emprego,630.292551362578
21,Assuntos Pessoais,1818.8750595038755
21,Refeição,238.4847914994649
22,Trabalho Indústria,459.48084250952115
22,Trabalho Comércio,1044.0398722265597
22,Trabalho Serviços,11612.199870683213
22,Educação,14549.416248253117
22,Compras,3058.4375267789374
22,Saúde,3238.122450080243
22,Lazer,1024.8010030794387
22,Procurar Emprego,95.6043528942835
22,Assuntos Pessoais,1953.5464146249305
22,Refeição,203.21837277153617
23,Trabalho Indústria,831.4257515159048
23,Trabalho Comércio,5897.524281636989
23,Trabalho Serviços,19902.04303605895
23,Educação,29797.902468737066
23,Compras,518.7605310668102
23,Saúde,9225.120842985627
