COD_ZONA,TEMPO_MEDIO_VIAGEM,QTD
224,Individual,18.5576555569923
224,A pé,9.358579011285206
224,Bicicleta,0
225,Coletivo,67.7674650140613
225,Individual,29.867225363236994
225,A pé,9.3246859773163
225,Bicicleta,0
226,Coletivo,59.83283238817799
226,Individual,14.704452596480571
226,A pé,12.932291067197788
226,Bicicleta,0
227,Coletivo,58.69798576618095
227,Individual,17.95070945572211
227,A pé,15.092720915138106
227,Bicicleta,0
228,Coletivo,68.65267495073873
228,Individual,20.092846799555645
228,A pé,11.000101210239349
228,Bicicleta,10
229,Coletivo,62.849610208520005
229,Individual,18.54849499580637
229,A pé,11.615816824799253
229,Bicicleta,10
230,Coletivo,79.86717479582438
230,Individual,22.962182584560537
230,A pé,11.254127239542798
