COD_ZONA,MODO_PRINCIPAL,QTD
38,Transporte fretado,0
38,Transporte escolar,441.10293769418445
38,Dirigindo automóvel,3334.989945548669
38,Passageiro de automóvel,408.73643775842305
38,Táxi convencional,0
38,Táxi não convencional,88.52736134809999
38,Dirigindo moto,351.79267325965657
38,Passageiro de moto,0
38,Bicicleta,0
38,A pé,4710.48954754526
38,Outros,23.877382822842918
39,Metrô,3583.357140515409
39,Trem,2379.4553602471256
39,Ônibus,8626.335103042653
39,Transporte fretado,97.37974003108765
39,Transporte escolar,1038.534002768722
39,Dirigindo automóvel,5253.6632862739
39,Passageiro de automóvel,1785.5884426192163
39,Táxi convencional,0
39,Táxi não convencional,202.31800196776294
39,Dirigindo moto,286.7710490197719
39,Passageiro de moto,0
39,Bicicleta,7.434710277675416
39,A pé,3847.296709402021
39,Outros,0
40,Metrô,11903.33950646605
40,Trem,632.4517278574971
40,Ônibus,9306.298283384504
40,Transporte fretado,0
40,Transporte escolar,784.115117018489
40,Dirigindo automóvel,5178.647075836217
40,Passageiro de automóvel,2951.1885051079703
40,Táxi convencional,0
40,Táxi não convencional,197.24223645157883
40,Dirigindo moto,427.48598079836097
40,Passageiro de moto,0
40,Bicicleta,80.44816254250789
40,A pé,10804.30390229915
40,Outros,0
41,Metrô,15536.948066142435
41,Trem,3802.3361092656337
41,Ônibus,10262.960924840194
41,Transporte fretado,0
41,Transporte escolar,2501.766592175303
41,Dirigindo automóvel,13368.401717404671
41,Passageiro de automóvel,5486.499569441196
41,Táxi convencional,104.39624948370192
41,Táxi não convencional,476.62292145205777
41,Dirigindo moto,1518.4330792000355
41,Passageiro de moto,0
41,Bicicleta,197.83291382876536
41,A pé,28044.98242619372
41,Outros,0
42,Metrô,2901.6382613791543
42,Trem,3459.050246894214
42,Ônibus,8296.877808733134
42,Transporte fretado,0
42,Transporte escolar,177.3945330744329
42,Dirigindo automóvel,4314.009060927255
42,Passageiro de automóvel,2620.5356030269536
42,Táxi convencional,0
42,Táxi não convencional,500.10038227841505
42,Dirigindo moto,71.63214846852875
42,Passageiro de moto,0
42,Bicicleta,721.236097834082
42,A pé,6268.397952928264
42,Outros,23.877382822842918
43,Metrô,33392.65370580947
43,Trem,3373.2611382952746
43,Ônibus,25229.204468864278
43,Transporte fretado,97.51227194342177
43,Transporte escolar,1556.087434514148
43,Dirigindo automóvel,15081.111467393983
43,Passageiro de automóvel,6614.698136197653
43,Táxi convencional,358.4847359279027
43,Táxi não convencional,2548.8369221433504
43,Dirigindo moto,1601.1883413887654
43,Passageiro de moto,75.44121330321177
43,Bicicleta,699.6608761173351
43,A pé,18703.51369186494
43,Outros,0
44,Metrô,7266.164127946291
44,Trem,4980.426169018248
44,Ônibus,8709.10907848489
44,Transporte fretado,0
44,Transporte escolar,1888.5069174150603
44,Dirigindo automóvel,15188.116437170622
44,Passageiro de automóvel,6370.74807155648
44,Táxi convencional,269.05464712108846
44,Táxi não convencional,1386.8271720229095
44,Dirigindo moto,1361.63487517033
44,Passageiro de moto,295.18082681653374
44,Bicicleta,433.44655481037705
44,A pé,12167.936188987913
44,Outros,0
45,Metrô,11301.5891478236
45,Trem,3740.520975885938
45,Ônibus,19613.613725035455
45,Transporte fretado,900.2050335010138
45,Transporte escolar,2334.518387534355
45,Dirigindo automóvel,21200.88260715753
45,Passageiro de automóvel,7341.920298348467
45,Táxi convencional,0
45,Táxi não convencional,2510.221777877236
45,Dirigindo moto,1965.0368552979144
45,Passageiro de moto,0
45,Bicicleta,1780.2082355678326
45,A pé,25484.575930274703
45,Outros,546.5445402582857
46,Metrô,3964.9825635362336
46,Trem,234.10422562969723
46,Ônibus,13315.78206361597
46,Transporte fretado,0
46,Transporte escolar,7653.349341026806
46,Dirigindo automóvel,11124.600443162934
46,Passageiro de automóvel,7052.439850434293
46,Táxi convencional,629.2827427128864
46,Táxi não convencional,0
46,Dirigindo moto,520.8989978825961
46,Passageiro de moto,0
46,Bicicleta,434.1125801975444
46,A pé,26794.09326140586
46,Outros,126.223526558201
