COD_ZONA,VIAGENS_ATRAIDAS_MODO_PRINCIPAL,QTD
43,Táxi não convencional,1403.65182443359
43,Dirigindo moto,1538.28547284162
43,Passageiro de moto,408.845738730243
43,Bicicleta,699.660876117335
43,A pé,20067.2216749683
43,Outros,447.711403604263
44,Metrô,6823.4365381207
44,Trem,4980.42616901825
44,Ônibus,11051.142287506
44,Transporte fretado,0
44,Transporte escolar,1888.50691741506
44,Dirigindo automóvel,15188.1164371706
44,Passageiro de automóvel,5864.01061042628
44,Táxi convencional,269.054647121088
44,Táxi não convencional,1386.82717202291
44,Dirigindo moto,1361.63487517033
44,Passageiro de moto,295.180826816534
44,Bicicleta,433.446554810377
44,A pé,11608.9022879947
44,Outros,0
45,Metrô,11533.8086179631
45,Trem,3189.95905657069
45,Ônibus,18289.1375501176
45,Transporte fretado,900.205033501014
45,Transporte escolar,2334.51838753436
45,Dirigindo automóvel,20416.9125370783
45,Passageiro de automóvel,7795.72499490534
45,Táxi convencional,0
45,Táxi não convencional,4034.02050850627
45,Dirigindo moto,1528.80494860371
45,Passageiro de moto,0
45,Bicicleta,1780.20823556783
45,A pé,25152.7928771884
45,Outros,412.833006970751
46,Metrô,3619.64746895402
46,Trem,234.104225629697
46,Ônibus,13592.5406900101
46,Transporte fretado,0
46,Transporte escolar,7255.05139452137
46,Dirigindo automóvel,11124.6004431629
46,Passageiro de automóvel,7139.62132840263
46,Táxi convencional,629.282742712886
46,Táxi não convencional,0
46,Dirigindo moto,520.898997882596
46,Passageiro de moto,0
46,Bicicleta,434.112580197544
46,A pé,26196.6222413105
46,Outros,126.223526558201
47,Metrô,3211.03695645458
47,Trem,471.371454181588
47,Ônibus,6275.12596664687
47,Transporte fretado,0
47,Transporte escolar,200.43456133216
47,Dirigindo automóvel,12045.8438494542
47,Passageiro de automóvel,3610.9532029311
47,Táxi convencional,0
47,Táxi não convencional,371.979227524348
47,Dirigindo moto,1728.31735583481
47,Passageiro de moto,0
47,Bicicleta,452.18858007132
47,A pé,14746.6199246394
47,Outros,240.829894928586
48,Metrô,3325.09539106652
48,Trem,1304.97862311997
48,Ônibus,11037.5680778553
48,Transporte fretado,0
48,Transporte escolar,2794.12264283546
48,Dirigindo automóvel,11889.9326747454
48,Passageiro de automóvel,5202.74603548684
48,Táxi convencional,247.315020550521
48,Táxi não convencional,76.6068490623991
