COD_ZONA,ENDERECO_EMPREGOS,QTD
131,Empregos Sem Endereço Fixo(**),144.7738093254913
132,Empregos em Endereço Fixo(*),3871.103424496129
132,Empregos na Própria Residência,0
132,Empregos Sem Endereço Fixo(**),0
133,Empregos em Endereço Fixo(*),17447.072684238854
133,Empregos na Própria Residência,2318.9092015757583
133,Empregos Sem Endereço Fixo(**),599.9293416666669
134,Empregos em Endereço Fixo(*),11093.022582057625
134,Empregos na Própria Residência,2661.9901201249995
134,Empregos Sem Endereço Fixo(**),950.9697596874996
135,Empregos em Endereço Fixo(*),13574.567227266294
135,Empregos na Própria Residência,1387.2487857157885
135,Empregos Sem Endereço Fixo(**),2482.9600257260913
136,Empregos em Endereço Fixo(*),20378.611258640853
136,Empregos na Própria Residência,1256.5663891456306
136,Empregos Sem Endereço Fixo(**),1835.5228607678914
137,Empregos em Endereço Fixo(*),13440.372482005225
137,Empregos na Própria Residência,3864.077698454199
137,Empregos Sem Endereço Fixo(**),3582.813793409493
138,Empregos em Endereço Fixo(*),10979.647699694273
138,Empregos na Própria Residência,336.0056506166668
138,Empregos Sem Endereço Fixo(**),741.1977592941118
139,Empregos em Endereço Fixo(*),12362.970717449356
139,Empregos na Própria Residência,674.7056521401954
139,Empregos Sem Endereço Fixo(**),1129.8919187089623
140,Empregos em Endereço Fixo(*),9381.266660319596
140,Empregos na Própria Residência,2352.210957230767
140,Empregos Sem Endereço Fixo(**),4503.1592009070055
141,Empregos em Endereço Fixo(*),15698.687921280542
141,Empregos na Própria Residência,2461.3979949098475
141,Empregos Sem Endereço Fixo(**),3692.8195283871196
142,Empregos em Endereço Fixo(*),9044.38606072771
142,Empregos na Própria Residência,3550.9000317782384
142,Empregos Sem Endereço Fixo(**),5078.909404528556
143,Empregos em Endereço Fixo(*),0
143,Empregos na Própria Residência,0
143,Empregos Sem Endereço Fixo(**),0
144,Empregos em Endereço Fixo(*),20427.487106276712
144,Empregos na Própria Residência,3662.1609369192024
144,Empregos Sem Endereço Fixo(**),6000.263391815507
145,Empregos em Endereço Fixo(*),1839.0348187144725
145,Empregos na Própria Residência,162.3462241100628
145,Empregos Sem Endereço Fixo(**),391.043392852201
146,Empregos em Endereço Fixo(*),0
146,Empregos na Própria Residência,0
146,Empregos Sem Endereço Fixo(**),0
147,Empregos em Endereço Fixo(*),11323.181087342457
147,Empregos na Própria Residência,1136.2551049912197
147,Empregos Sem Endereço Fixo(**),851.0704160555557
148,Empregos em Endereço Fixo(*),4864.779179627275
148,Empregos na Própria Residência,1432.2196972656243
148,Empregos Sem Endereço Fixo(**),1538.9499253689896
149,Empregos em Endereço Fixo(*),68.44721766666667
149,Empregos na Própria Residência,0
149,Empregos Sem Endereço Fixo(**),0
150,Empregos em Endereço Fixo(*),4271.690825816786
150,Empregos na Própria Residência,1642.7869583367838
150,Empregos Sem Endereço Fixo(**),4354.93909146881
151,Empregos em Endereço Fixo(*),12122.368354113498
151,Empregos na Própria Residência,3497.5389344922382
151,Empregos Sem Endereço Fixo(**),5390.632089029496
152,Empregos em Endereço Fixo(*),10440.641291373739
152,Empregos na Própria Residência,3527.0079302199506
152,Empregos Sem Endereço Fixo(**),605.0649067941179
153,Empregos em Endereço Fixo(*),8723.542085351772
153,Empregos na Própria Residência,1429.123896517608
153,Empregos Sem Endereço Fixo(**),612.4847566879605
154,Empregos em Endereço Fixo(*),12726.71454816666
154,Empregos na Própria Residência,2429.6121718441964
154,Empregos Sem Endereço Fixo(**),2005.4575515220868
155,Empregos em Endereço Fixo(*),3540.9795768829977
155,Empregos na Própria Residência,1779.6275904325807
155,Empregos Sem Endereço Fixo(**),999.4269496014722
156,Empregos em Endereço Fixo(*),12778.188989723609
156,Empregos na Própria Residência,3762.330242090197
156,Empregos Sem Endereço Fixo(**),1070.531692835294
157,Empregos em Endereço Fixo(*),3851.7558982368523
157,Empregos na Própria Residência,1300.9775438396077
157,Empregos Sem Endereço Fixo(**),1832.613707813764
158,Empregos em Endereço Fixo(*),4703.3648255229655
158,Empregos na Própria Residência,1376.1930753061215
158,Empregos Sem Endereço Fixo(**),1848.2073059158165
159,Empregos em Endereço Fixo(*),19152.396585794762
159,Empregos na Própria Residência,7273.93309753395
159,Empregos Sem Endereço Fixo(**),2776.460754736838
160,Empregos em Endereço Fixo(*),7849.184857252059
160,Empregos na Própria Residência,2356.226329485898
160,Empregos Sem Endereço Fixo(**),2491.1865086910257
161,Empregos em Endereço Fixo(*),29775.996608843194
161,Empregos na Própria Residência,1720.5713534090912
161,Empregos Sem Endereço Fixo(**),1709.0237791372188
162,Empregos em Endereço Fixo(*),15909.734601792263
162,Empregos na Própria Residência,1519.5220229253869
162,Empregos Sem Endereço Fixo(**),393.85931718627444
163,Empregos em Endereço Fixo(*),13614.539353842112
163,Empregos na Própria Residência,2494.2589900995263
163,Empregos Sem Endereço Fixo(**),1210.6925247459692
164,Empregos em Endereço Fixo(*),9511.392867451483
164,Empregos na Própria Residência,577.8440761428576
164,Empregos Sem Endereço Fixo(**),416.7808681785716
165,Empregos em Endereço Fixo(*),13873.019636087392
165,Empregos na Própria Residência,235.88542936866367
165,Empregos Sem Endereço Fixo(**),223.60547774193554
166,Empregos em Endereço Fixo(*),26363.06347298227
166,Empregos na Própria Residência,1930.611222674657
166,Empregos Sem Endereço Fixo(**),2059.1943789026636
167,Empregos em Endereço Fixo(*),35393.19219221636
167,Empregos na Própria Residência,1332.9728956392396
167,Empregos Sem Endereço Fixo(**),767.2972720062264
168,Empregos em Endereço Fixo(*),20130.639204400995
168,Empregos na Própria Residência,1543.3711218181832
168,Empregos Sem Endereço Fixo(**),484.5042578926663
169,Empregos em Endereço Fixo(*),16023.763844812438
169,Empregos na Própria Residência,1402.52160156767
169,Empregos Sem Endereço Fixo(**),1601.6277814527039
170,Empregos em Endereço Fixo(*),18710.5463546892
170,Empregos na Própria Residência,664.6930874999996
170,Empregos Sem Endereço Fixo(**),492.2057807450109
171,Empregos em Endereço Fixo(*),10800.02569677466
171,Empregos na Própria Residência,827.0108312631581
171,Empregos Sem Endereço Fixo(**),3183.3520896166247
172,Empregos em Endereço Fixo(*),8019.221809317694
172,Empregos na Própria Residência,1595.1746238390654
172,Empregos Sem Endereço Fixo(**),1793.4505302447071
173,Empregos em Endereço Fixo(*),7124.53987603871
