COD_ZONA,TIPO_VIAGEM,QTD
104,Individual,8699.90141984127
104,Modo Motorizado,15343.358144399883
104,Modo Não Motorizado,2625.529454530258
105,Coletivo,19260.11833447586
105,Individual,21115.604256152114
105,Modo Motorizado,40375.72259062798
105,Modo Não Motorizado,7328.812410576723
106,Coletivo,14664.02707443777
106,Individual,11012.190177690785
106,Modo Motorizado,25676.217252128554
106,Modo Não Motorizado,5132.592887043738
107,Coletivo,17957.190205438837
107,Individual,26070.114043325408
107,Modo Motorizado,44027.304248764245
107,Modo Não Motorizado,6242.1510787530315
108,Coletivo,11743.082461748523
108,Individual,12153.367216221044
108,Modo Motorizado,23896.44967796957
108,Modo Não Motorizado,1933.158862798988
109,Coletivo,88295.88088589052
109,Individual,41544.734156450904
109,Modo Motorizado,129840.61504234144
109,Modo Não Motorizado,50785.42570343889
110,Coletivo,38988.34199290862
110,Individual,26977.4849473961
110,Modo Motorizado,65965.82694030472
110,Modo Não Motorizado,24625.95310769244
111,Coletivo,25215.244303351836
111,Individual,28321.56150892298
111,Modo Motorizado,53536.80581227482
111,Modo Não Motorizado,29887.70069048735
112,Coletivo,21342.975317848497
112,Individual,12466.788176798878
112,Modo Motorizado,33809.76349464738
112,Modo Não Motorizado,24812.558321039476
113,Coletivo,23194.7204384962
113,Individual,22871.546577241235
113,Modo Motorizado,46066.26701573744
113,Modo Não Motorizado,11478.094246392793
114,Coletivo,0
114,Individual,0
114,Modo Motorizado,0
114,Modo Não Motorizado,238.7222365598744
115,Coletivo,30864.500936222135
115,Individual,15279.695813484883
115,Modo Motorizado,46144.196749707015
115,Modo Não Motorizado,23847.484234555523
116,Coletivo,116565.10802024872
116,Individual,35295.39214138315
116,Modo Motorizado,151860.50016163188
116,Modo Não Motorizado,88414.9819192431
117,Coletivo,28953.35246412471
117,Individual,21015.348181322508
117,Modo Motorizado,49968.700645447214
117,Modo Não Motorizado,9888.97182595164
118,Coletivo,7498.394692906511
118,Individual,6031.174136278032
118,Modo Motorizado,13529.568829184544
118,Modo Não Motorizado,8146.345263592732
119,Coletivo,61341.84221253597
119,Individual,14860.550454830067
119,Modo Motorizado,76202.39266736605
119,Modo Não Motorizado,34710.844887719286
120,Coletivo,0
120,Individual,0
120,Modo Motorizado,0
120,Modo Não Motorizado,0
121,Coletivo,36963.72119562999
121,Individual,18144.157075847234
121,Modo Motorizado,55107.878271477224
121,Modo Não Motorizado,39548.883194739225
122,Coletivo,28950.427065146538
122,Individual,13821.019787415873
122,Modo Motorizado,42771.44685256241
122,Modo Não Motorizado,29622.08659919973
123,Coletivo,41777.82047797342
123,Individual,10337.972379957162
123,Modo Motorizado,52115.79285793059
123,Modo Não Motorizado,32801.711385906216
124,Coletivo,51204.61991821898
124,Individual,32460.85792855699
124,Modo Motorizado,83665.47784677598
124,Modo Não Motorizado,45103.31703957946
125,Coletivo,24122.09183692609
125,Individual,13383.050403083269
125,Modo Motorizado,37505.14224000936
125,Modo Não Motorizado,42629.76803110941
126,Coletivo,24126.062454997424
126,Individual,24813.16745230034
126,Modo Motorizado,48939.22990729776
126,Modo Não Motorizado,22988.468565580883
127,Coletivo,40761.279888163284
127,Individual,48537.96246275706
127,Modo Motorizado,89299.24235092034
127,Modo Não Motorizado,39157.95678212848
128,Coletivo,16401.34782149553
128,Individual,15797.003289556771
128,Modo Motorizado,32198.3511110523
128,Modo Não Motorizado,3700.7673953661874
129,Coletivo,29760.247518453543
129,Individual,22648.16951454656
129,Modo Motorizado,52408.41703300011
129,Modo Não Motorizado,9972.995668094429
130,Coletivo,4069.2341242856783
130,Individual,4047.2954193168853
130,Modo Motorizado,8116.5295436025635
130,Modo Não Motorizado,1552.7742565416274
131,Coletivo,17590.95106702881
131,Individual,8236.07280517183
131,Modo Motorizado,25827.02387220064
131,Modo Não Motorizado,6526.003562398671
132,Coletivo,6893.611101246463
132,Individual,7109.851663439767
132,Modo Motorizado,14003.46276468623
132,Modo Não Motorizado,648.8967242799545
