COD_ZONA,NUMERO_AUTOMOVEIS,QTD
141,3 Automóveis ou Mais,0
141,...6,26621.190476190477
142,Nenhum Automóvel,11476.099865581175
142,1 Automóvel,7782.037384376256
142,2 Automóveis,1007.862750042572
142,3 Automóveis ou Mais,0
142,...6,20266.000000000004
143,Nenhum Automóvel,0
143,1 Automóvel,0
143,2 Automóveis,0
143,3 Automóveis ou Mais,0
143,...6,0
144,Nenhum Automóvel,13746.150000000001
144,1 Automóvel,18562.59318181818
144,2 Automóveis,3510.906818181818
144,3 Automóveis ou Mais,663.35
144,...6,36483
145,Nenhum Automóvel,319.5066666666667
145,1 Automóvel,1144.3733333333337
145,2 Automóveis,110.85333333333332
145,3 Automóveis ou Mais,0
145,...6,1574.7333333333336
146,Nenhum Automóvel,0
146,1 Automóvel,0
146,2 Automóveis,0
146,3 Automóveis ou Mais,0
146,...6,0
147,Nenhum Automóvel,4271.86984126984
147,1 Automóvel,4739.755555555555
147,2 Automóveis,1613.1746031746036
147,3 Automóveis ou Mais,249.2
147,...6,10874
148,Nenhum Automóvel,3921.799999999998
148,1 Automóvel,3443.485714285713
148,2 Automóveis,443.7142857142857
148,3 Automóveis ou Mais,0
148,...6,7808.999999999996
149,Nenhum Automóvel,0
149,1 Automóvel,0
149,2 Automóveis,0
149,3 Automóveis ou Mais,0
149,...6,0
150,Nenhum Automóvel,9794.308996631476
150,1 Automóvel,4793.0628885067
150,2 Automóveis,351.81405743090954
150,3 Automóveis ou Mais,351.81405743090954
150,...6,15290.999999999995
151,Nenhum Automóvel,18368.583464930394
151,1 Automóvel,13616.327202934812
151,2 Automóveis,1317.5265074081913
151,3 Automóveis ou Mais,321.56282472659615
151,...6,33624
152,Nenhum Automóvel,5649.9457200416955
152,1 Automóvel,6020.628195183926
152,2 Automóveis,483.426084774376
152,3 Automóveis ou Mais,0
152,...6,12153.999999999996
153,Nenhum Automóvel,1547.4138493508326
153,1 Automóvel,3117.1036889630477
153,2 Automóveis,722.5636245966091
153,3 Automóveis ou Mais,315.9188370895098
153,...6,5702.999999999999
154,Nenhum Automóvel,4983.2570774310925
154,1 Automóvel,8511.350279271397
154,2 Automóveis,2120.2858309182893
154,3 Automóveis ou Mais,182.10681237921938
154,...6,15796.999999999998
155,Nenhum Automóvel,5768.0457796260125
155,1 Automóvel,2748.8992929775886
155,2 Automóveis,517.3198781756564
