COD_ZONA,MOTIVO_VIAGEM,QTD
35,Procurar Emprego,676.4705098321767
35,Assuntos Pessoais,5795.31609839047
35,Refeição,3359.5883785628826
36,Trabalho Indústria,1405.3599431128848
36,Trabalho Comércio,3778.7216298958265
36,Trabalho Serviços,50164.9382308324
36,Educação,29543.474156217868
36,Compras,3089.9949491734124
36,Saúde,5653.287256689532
36,Lazer,6181.1267733152845
36,Procurar Emprego,438.6739393540423
36,Assuntos Pessoais,7377.864146189392
36,Refeição,5014.52349937201
37,Trabalho Indústria,1866.941681724553
37,Trabalho Comércio,4603.367950552622
37,Trabalho Serviços,15694.3663889424
37,Educação,3900.046826300555
37,Compras,1999.5048670583478
37,Saúde,787.0384325028274
37,Lazer,1057.703146044834
37,Procurar Emprego,0
37,Assuntos Pessoais,2475.411337946319
