COD_ZONA,RAZAO_VIAGEM_A_PE,QTD
60,Viagem Demorada,102.37754492121071
60,Condução Lotada,0
60,Atividade Física,1313.8579742671682
60,Outros Motivos,0
61,Pequena Distância,16959.119350327168
61,Condução Cara,0
61,Ponto/ Estação Distante,267.2735335026364
61,Condução Demora para Passar,0
61,Viagem Demorada,0
61,Condução Lotada,0
61,Atividade Física,525.5814584108019
61,Outros Motivos,0
62,Pequena Distância,5344.328233867314
62,Condução Cara,0
62,Ponto/ Estação Distante,0
62,Condução Demora para Passar,0
62,Viagem Demorada,0
62,Condução Lotada,0
62,Atividade Física,391.019553242794
62,Outros Motivos,203.07288149770608
63,Pequena Distância,2038.9672852085791
63,Condução Cara,0
63,Ponto/ Estação Distante,0
63,Condução Demora para Passar,0
63,Viagem Demorada,0
63,Condução Lotada,0
63,Atividade Física,243.68076719315766
63,Outros Motivos,0
64,Pequena Distância,23353.930683592116
64,Condução Cara,0
64,Ponto/ Estação Distante,0
64,Condução Demora para Passar,0
64,Viagem Demorada,0
64,Condução Lotada,0
64,Atividade Física,639.1521157610376
64,Outros Motivos,162.2219260202122
65,Pequena Distância,13078.583758906727
65,Condução Cara,0
65,Ponto/ Estação Distante,115.62499601416577
65,Condução Demora para Passar,0
65,Viagem Demorada,0
65,Condução Lotada,0
65,Atividade Física,258.9356149938828
65,Outros Motivos,162.2219260202122
66,Pequena Distância,5055.67627622473
66,Condução Cara,0
66,Ponto/ Estação Distante,0
66,Condução Demora para Passar,0
66,Viagem Demorada,102.37754492121071
66,Condução Lotada,0
66,Atividade Física,260.9584860440621
66,Outros Motivos,0
67,Pequena Distância,6727.359615762264
67,Condução Cara,0
67,Ponto/ Estação Distante,115.62499601416577
67,Condução Demora para Passar,80.44789634059654
67,Viagem Demorada,0
67,Condução Lotada,0
67,Atividade Física,587.9153295924656
67,Outros Motivos,0
68,Pequena Distância,53536.10156189486
68,Condução Cara,260.3615642430573
68,Ponto/ Estação Distante,0
68,Condução Demora para Passar,0
68,Viagem Demorada,127.53462671434896
68,Condução Lotada,0
68,Atividade Física,624.5442254596678
68,Outros Motivos,0
69,Pequena Distância,14814.282473917241
69,Condução Cara,0
69,Ponto/ Estação Distante,0
69,Condução Demora para Passar,69.44266842968133
69,Viagem Demorada,149.24254162581724
69,Condução Lotada,0
69,Atividade Física,374.76163745375584
69,Outros Motivos,79.79987319613592
70,Pequena Distância,11304.119834495263
70,Condução Cara,260.3615642430573
70,Ponto/ Estação Distante,0
70,Condução Demora para Passar,0
70,Viagem Demorada,70.58577442601442
