COD_ZONA,EMPREGO_EXTERNO_INTERNO,QTD
189,Trabalho Externo(*),1155.0852724024144
189,Trabalho Interno,9539.082172314782
190,Trabalho Externo(*),2162.1967180000956
190,Trabalho Interno,13227.339800258627
191,Trabalho Externo(*),378.3941118873235
191,Trabalho Interno,8308.40521571277
192,Trabalho Externo(*),1595.169407867925
192,Trabalho Interno,7782.926366103803
193,Trabalho Externo(*),2669.514578557363
193,Trabalho Interno,3915.9778496167983
194,Trabalho Externo(*),1051.883960734841
194,Trabalho Interno,3800.4631653020115
195,Trabalho Externo(*),1435.5181372269935
195,Trabalho Interno,4819.686357417319
196,Trabalho Externo(*),1261.3539165024256
196,Trabalho Interno,7077.916291734319
197,Trabalho Externo(*),1905.5443243243785
197,Trabalho Interno,5857.4843381985875
198,Trabalho Externo(*),3919.0350828063256
198,Trabalho Interno,20014.622029569193
199,Trabalho Externo(*),648.4394972690444
199,Trabalho Interno,20020.83137764477
200,Trabalho Externo(*),877.1021894126847
200,Trabalho Interno,8285.313067739276
201,Trabalho Externo(*),2869.5925394769965
201,Trabalho Interno,13749.7742142311
202,Trabalho Externo(*),2725.9446621254515
202,Trabalho Interno,8744.930757175427
203,Trabalho Externo(*),934.0906612645686
203,Trabalho Interno,7905.688687623933
204,Trabalho Externo(*),3634.023458677068
204,Trabalho Interno,19246.364397053658
205,Trabalho Externo(*),4077.68309084996
205,Trabalho Interno,18195.776488366835
206,Trabalho Externo(*),1223.1888123390981
206,Trabalho Interno,14675.275971064828
207,Trabalho Externo(*),1707.851521392187
207,Trabalho Interno,14300.149645769729
208,Trabalho Externo(*),2726.3652261829648
208,Trabalho Interno,26115.177463084292
209,Trabalho Externo(*),3138.945975742803
209,Trabalho Interno,9781.292065136922
210,Trabalho Externo(*),1761.1627083580215
210,Trabalho Interno,18800.30188990979
211,Trabalho Externo(*),4453.167622841675
211,Trabalho Interno,16042.66680691864
212,Trabalho Externo(*),1424.4368609406781
212,Trabalho Interno,7325.086552285569
213,Trabalho Externo(*),3765.5453162097515
213,Trabalho Interno,18079.74058828171
214,Trabalho Externo(*),2005.2062663531242
214,Trabalho Interno,10384.788133170892
215,Trabalho Externo(*),4726.054957111305
215,Trabalho Interno,13445.973230130838
216,Trabalho Externo(*),2933.1169622760744
216,Trabalho Interno,9484.177252469097
217,Trabalho Externo(*),662.6302335972653
217,Trabalho Interno,10169.34033579463
218,Trabalho Externo(*),1369.7304065753451
218,Trabalho Interno,17253.851670880395
219,Trabalho Externo(*),2280.1653884103507
219,Trabalho Interno,14895.26780953322
220,Trabalho Externo(*),370.07937564705884
220,Trabalho Interno,10362.141213144307
221,Trabalho Externo(*),2029.7171326950292
221,Trabalho Interno,15738.985120140198
222,Trabalho Externo(*),3508.345335157715
222,Trabalho Interno,13255.47615150116
223,Trabalho Externo(*),3293.231598840956
223,Trabalho Interno,7458.36455599892
224,Trabalho Externo(*),0
224,Trabalho Interno,1818.1168354580466
225,Trabalho Externo(*),1679.9943057813014
225,Trabalho Interno,10311.123453810787
226,Trabalho Externo(*),4547.479868793306
226,Trabalho Interno,16122.907110971388
227,Trabalho Externo(*),2444.000799395839
227,Trabalho Interno,13349.427697579998
228,Trabalho Externo(*),1019.8755656364763
228,Trabalho Interno,7794.10519495413
229,Trabalho Externo(*),9336.610488919248
229,Trabalho Interno,22556.220557767996
230,Trabalho Externo(*),861.8678289193583
230,Trabalho Interno,13090.32801614959
231,Trabalho Externo(*),2448.34505424895
231,Trabalho Interno,5809.434172813684
232,Trabalho Externo(*),639.4504091182437
232,Trabalho Interno,8916.359558970798
233,Trabalho Externo(*),2791.416681649119
233,Trabalho Interno,13865.67954713068
234,Trabalho Externo(*),1904.4800476739708
234,Trabalho Interno,15235.794809965504
235,Trabalho Externo(*),7108.293910944539
235,Trabalho Interno,16714.34520496253
236,Trabalho Externo(*),1399.0714787261898
236,Trabalho Interno,9521.46599580299
237,Trabalho Externo(*),1533.1748893337935
237,Trabalho Interno,10228.283082424286
238,Trabalho Externo(*),2537.2310208175186
238,Trabalho Interno,8775.385070908698
239,Trabalho Externo(*),1254.516311571924
239,Trabalho Interno,16302.70098953183
240,Trabalho Externo(*),1859.5495347068481
240,Trabalho Interno,17177.28205633065
241,Trabalho Externo(*),1277.3218508020555
241,Trabalho Interno,11092.177925967808
242,Trabalho Externo(*),1979.7334515548741
242,Trabalho Interno,10554.788462568918
243,Trabalho Externo(*),2291.441797261423
243,Trabalho Interno,17921.088076350592
244,Trabalho Externo(*),2890.319413120957
244,Trabalho Interno,7542.309884064639
245,Trabalho Externo(*),1836.9222230120051
245,Trabalho Interno,4893.724842546079
246,Trabalho Externo(*),881.6419533796931
246,Trabalho Interno,6317.156413295228
247,Trabalho Externo(*),3022.6956900806495
247,Trabalho Interno,18028.131267582874
248,Trabalho Externo(*),0
248,Trabalho Interno,2132.409750044235
249,Trabalho Externo(*),1696.34219379551
249,Trabalho Interno,12984.932867124877
250,Trabalho Externo(*),1378.0443602307842
250,Trabalho Interno,11722.632059561738
251,Trabalho Externo(*),1017.08273058204
251,Trabalho Interno,10635.51204736988
252,Trabalho Externo(*),1992.465391306765
252,Trabalho Interno,9668.05429378728
253,Trabalho Externo(*),355.19118708286953
253,Trabalho Interno,6599.422218679001
254,Trabalho Externo(*),3261.1884180319685
254,Trabalho Interno,18855.764648515447
255,Trabalho Externo(*),1718.3893259264248
255,Trabalho Interno,19301.49929380799
256,Trabalho Externo(*),230.22051846153835
256,Trabalho Interno,9238.832194523176
257,Trabalho Externo(*),1214.5221289494004
257,Trabalho Interno,6938.5311210675145
258,Trabalho Externo(*),2765.8931194948964
258,Trabalho Interno,13219.946008740211
259,Trabalho Externo(*),971.5303934556857
259,Trabalho Interno,9785.997498186316
260,Trabalho Externo(*),2462.2346026622176
260,Trabalho Interno,6440.931883227138
261,Trabalho Externo(*),1096.6333357894887
261,Trabalho Interno,10921.719334298348
262,Trabalho Externo(*),6574.687334397244
262,Trabalho Interno,12717.182658782343
263,Trabalho Externo(*),2497.3889384312097
263,Trabalho Interno,12874.64022799648
264,Trabalho Externo(*),4378.306429670257
264,Trabalho Interno,17359.348126533136
